"MTD ($M = \{m_1, m_2\}$)",$m_1$,$Z_{ m_1 }$,"Reject $H_{ 0,m_1 }$",$m_2$,$Z_{ m_2 }$,"Reject $H_{ 0,m_2 }$",Closest Matching MTD
"OSShuffle,ServiceShuffle",	extit{OSShuffle},1.19,True,	extit{ServiceShuffle},0.77,True,ServiceShuffle
"IPShuffle,PortShuffle",	extit{IPShuffle},2.0,True,	extit{PortShuffle},-3.37,False,IPShuffle
"HostTopologyShuffle,IPShuffle",	extit{IPShuffle},30.92,False,	extit{HostTopologyShuffle},-6.41,False,HostTopologyShuffle
"CompleteTopologyShuffle,PortShuffle",	extit{PortShuffle},11.83,False,	extit{CompleteTopologyShuffle},1.81,True,CompleteTopologyShuffle
"CompleteTopologyShuffle,HostTopologyShuffle",	extit{CompleteTopologyShuffle},10.99,False,	extit{HostTopologyShuffle},-1.83,True,HostTopologyShuffle
"IPShuffle,OSShuffle",	extit{IPShuffle},15.69,False,	extit{OSShuffle},-4.61,False,OSShuffle
"IPShuffle,ServiceShuffle",	extit{IPShuffle},18.58,False,	extit{ServiceShuffle},-6.69,False,ServiceShuffle
"PortShuffle,ServiceShuffle",	extit{PortShuffle},10.51,False,	extit{ServiceShuffle},-1.35,True,ServiceShuffle
"OSShuffle,PortShuffle",	extit{PortShuffle},7.66,False,	extit{OSShuffle},-3.13,False,OSShuffle
"CompleteTopologyShuffle,IPShuffle",	extit{IPShuffle},21.59,False,	extit{CompleteTopologyShuffle},-2.14,True,CompleteTopologyShuffle
"HostTopologyShuffle,ServiceShuffle",	extit{HostTopologyShuffle},4.31,False,	extit{ServiceShuffle},9.88,False,HostTopologyShuffle
"HostTopologyShuffle,OSShuffle",	extit{HostTopologyShuffle},3.8,False,	extit{OSShuffle},9.48,False,HostTopologyShuffle
"CompleteTopologyShuffle,OSShuffle",	extit{CompleteTopologyShuffle},8.6,False,	extit{OSShuffle},2.77,False,OSShuffle
"HostTopologyShuffle,PortShuffle",	extit{PortShuffle},15.81,False,	extit{HostTopologyShuffle},-4.41,False,HostTopologyShuffle
"CompleteTopologyShuffle,ServiceShuffle",	extit{CompleteTopologyShuffle},10.32,False,	extit{ServiceShuffle},3.57,False,ServiceShuffle
